SampleID	marker	SRA_accession	BioSample_accession	BioProject_accession
LDUN3-SO-03	COI	SRR7969761	SAMN10181790	PRJNA494857
LDUN3-UN-01	COI	SRR7969657	SAMN10181791	PRJNA494857
LDUN3-UN-02	COI	SRR7969656	SAMN10181792	PRJNA494857
LDUN3-UN-03	COI	SRR7969655	SAMN10181793	PRJNA494857
MC01-01	COI	SRR7969649	SAMN10181799	PRJNA494857
MC01-02	COI	SRR7969648	SAMN10181800	PRJNA494857
MC01-03	COI	SRR7969469	SAMN10181801	PRJNA494857
MC01-45-01	COI	SRR7969470	SAMN10181802	PRJNA494857
MC01-45-02	COI	SRR7969467	SAMN10181803	PRJNA494857
MC01-45-03	COI	SRR7969468	SAMN10181804	PRJNA494857
MC01-47-01	COI	SRR7969465	SAMN10181805	PRJNA494857
MC01-47-02	COI	SRR7969466	SAMN10181806	PRJNA494857
MC01-47-03	COI	SRR7969463	SAMN10181807	PRJNA494857
MC01-49-01	COI	SRR7969464	SAMN10181808	PRJNA494857
MC01-49-02	COI	SRR7969461	SAMN10181809	PRJNA494857
MC01-49-03	COI	SRR7969462	SAMN10181810	PRJNA494857
MC01-51-01	COI	SRR7969567	SAMN10181811	PRJNA494857
MC01-51-02	COI	SRR7969566	SAMN10181812	PRJNA494857
MC01-51-03	COI	SRR7969569	SAMN10181813	PRJNA494857
MC01-53-01	COI	SRR7969568	SAMN10181814	PRJNA494857
MC01-53-02	COI	SRR7969563	SAMN10181815	PRJNA494857
MC01-53-03	COI	SRR7969562	SAMN10181816	PRJNA494857
MC01-55-01	COI	SRR7969565	SAMN10181817	PRJNA494857
MC01-55-02	COI	SRR7969564	SAMN10181818	PRJNA494857
MC01-55-03	COI	SRR7969561	SAMN10181819	PRJNA494857
MC02-01	COI	SRR7969560	SAMN10181820	PRJNA494857
MC02-02	COI	SRR7969604	SAMN10181821	PRJNA494857
MC02-03	COI	SRR7969605	SAMN10181822	PRJNA494857
MC03-01	COI	SRR7969606	SAMN10181823	PRJNA494857
MC03-02	COI	SRR7969607	SAMN10181824	PRJNA494857
MC03-03	COI	SRR7969600	SAMN10181825	PRJNA494857
MC04-01	COI	SRR7969601	SAMN10181826	PRJNA494857
MC04-02	COI	SRR7969602	SAMN10181827	PRJNA494857
MC04-03	COI	SRR7969603	SAMN10181828	PRJNA494857
MC05-01	COI	SRR7969608	SAMN10181829	PRJNA494857
MC05-02	COI	SRR7969609	SAMN10181830	PRJNA494857
MC05-03	COI	SRR7969703	SAMN10181831	PRJNA494857
MC06-01	COI	SRR7969702	SAMN10181832	PRJNA494857
MC06-02	COI	SRR7969701	SAMN10181833	PRJNA494857
MC06-03	COI	SRR7969700	SAMN10181834	PRJNA494857
MC07-01	COI	SRR7969707	SAMN10181835	PRJNA494857
MC07-02	COI	SRR7969706	SAMN10181836	PRJNA494857
MC07-03	COI	SRR7969705	SAMN10181837	PRJNA494857
MC08-01	COI	SRR7969704	SAMN10181838	PRJNA494857
MC08-02	COI	SRR7969709	SAMN10181839	PRJNA494857
MC08-03	COI	SRR7969708	SAMN10181840	PRJNA494857
MC08-45-01	COI	SRR7969483	SAMN10181841	PRJNA494857
MC08-45-02	COI	SRR7969484	SAMN10181842	PRJNA494857
MC08-45-03	COI	SRR7969481	SAMN10181843	PRJNA494857
MC08-47-01	COI	SRR7969482	SAMN10181844	PRJNA494857
MC08-47-02	COI	SRR7969487	SAMN10181845	PRJNA494857
MC08-47-03	COI	SRR7969488	SAMN10181846	PRJNA494857
MC08-49-01	COI	SRR7969485	SAMN10181847	PRJNA494857
MC08-49-02	COI	SRR7969486	SAMN10181848	PRJNA494857
MC08-49-03	COI	SRR7969489	SAMN10181849	PRJNA494857
MC08-51-01	COI	SRR7969490	SAMN10181850	PRJNA494857
MC08-51-02	COI	SRR7969611	SAMN10181851	PRJNA494857
MC08-51-03	COI	SRR7969610	SAMN10181852	PRJNA494857
MC08-53-01	COI	SRR7969613	SAMN10181853	PRJNA494857
MC08-53-02	COI	SRR7969612	SAMN10181854	PRJNA494857
MC08-53-03	COI	SRR7969615	SAMN10181855	PRJNA494857
MC08-55-01	COI	SRR7969614	SAMN10181856	PRJNA494857
MC08-55-02	COI	SRR7969617	SAMN10181857	PRJNA494857
MC08-55-03	COI	SRR7969616	SAMN10181858	PRJNA494857
MC09-01	COI	SRR7969619	SAMN10181859	PRJNA494857
MC09-02	COI	SRR7969618	SAMN10181860	PRJNA494857
MC09-03	COI	SRR7969660	SAMN10181861	PRJNA494857
MC10-01	COI	SRR7969661	SAMN10181862	PRJNA494857
MC10-02	COI	SRR7969662	SAMN10181863	PRJNA494857
MC10-03	COI	SRR7969663	SAMN10181864	PRJNA494857
MC11-01	COI	SRR7969664	SAMN10181865	PRJNA494857
MC11-02	COI	SRR7969665	SAMN10181866	PRJNA494857
MC11-03	COI	SRR7969666	SAMN10181867	PRJNA494857
MC12-01	COI	SRR7969667	SAMN10181868	PRJNA494857
MC12-02	COI	SRR7969658	SAMN10181869	PRJNA494857
MC12-03	COI	SRR7969659	SAMN10181870	PRJNA494857
MC13-01		SRR7969777	SAMN10181871	PRJNA494857
MC13-02	COI	SRR7969776	SAMN10181872	PRJNA494857
