sample,total,trimmed-total,trimmed-pe,trimmed-orphans,merged,cluster_thres,clusters_total,clusters_min_cov,cluster_above_thres,queries
MC03-01,114144,34311,8230,26081,8230,0.97,195,3,91,29561
MC03-02,72794,12425,2640,9785,2638,0.97,117,3,69,10475
MC03-03,109234,34108,9674,24434,9674,0.97,171,3,84,28640
MC04-01,106838,32270,8574,23696,8574,0.97,132,3,59,27373
MC04-02,16356,958,64,894,64,0.97,38,3,16,851
MC04-03,97630,29988,7844,22144,7844,0.97,115,3,52,25513
MC05-01,123792,34622,6128,28494,6126,0.97,166,3,76,31004
MC05-02,120874,40071,13882,26189,13880,0.97,175,3,87,32057
MC05-03,106244,32359,8466,23893,8466,0.97,170,3,86,27500
MC06-01,110692,34449,9268,25181,9268,0.97,136,3,64,29217
MC06-02,81172,22974,4666,18308,4666,0.97,101,3,47,20263
MC06-03,82670,25597,6200,19397,6200,0.97,104,3,49,22103
MC07-01,128298,38040,10660,27380,10658,0.97,147,3,73,31895
MC07-02,111014,34419,10810,23609,10808,0.97,135,3,62,28202
MC07-03,90632,27240,7026,20214,7024,0.97,116,3,52,23250
MC08-01,96444,29283,6952,22331,6952,0.97,54,3,28,25452
MC08-02,114412,35844,10196,25648,10196,0.97,60,3,28,30235
MC08-03,99940,28822,5464,23358,5462,0.97,36,3,17,25835
MC08-45-01,82508,26933,8354,18579,8352,0.97,51,3,27,22299
MC08-45-02,81894,27851,9678,18173,9678,0.97,45,3,21,22501
MC08-45-03,26158,8640,2754,5886,2748,0.97,55,3,22,7095
MC08-47-01,75778,22958,5806,17152,5804,0.97,35,3,17,19721
MC08-47-02,70056,22020,6500,15520,6500,0.97,40,3,24,18420
MC08-47-03,60404,17785,4452,13333,4452,0.97,62,3,42,15264
MC08-49-01,79100,20368,6440,13928,6438,0.97,37,3,23,16399
MC08-49-02,103348,34502,11778,22724,11778,0.97,41,3,27,28005
MC08-49-03,90700,23639,2990,20649,2990,0.97,46,3,23,21948
MC08-51-01,83734,26320,8230,18090,8230,0.97,33,3,22,21716
MC08-51-02,52716,17613,6438,11175,6438,0.97,33,3,18,14054
MC08-51-03,78032,25199,8076,17123,8076,0.97,37,3,19,20738
MC08-53-01,91804,28407,7996,20411,7996,0.97,114,3,68,23923
MC08-53-02,73232,23842,7948,15894,7948,0.97,48,3,32,19430
MC08-53-03,54060,17363,5072,12291,5072,0.97,29,3,17,14559
MC08-55-01,111512,33613,9256,24357,9256,0.97,114,3,55,28341
MC08-55-02,88980,28632,9488,19144,9488,0.97,34,3,17,23374
MC08-55-03,75744,23889,6910,16979,6910,0.97,38,3,16,20057
MC09-01,101034,29593,5214,24379,5214,0.97,55,3,28,26733
MC09-02,124874,39727,11338,28389,11338,0.97,52,3,20,33511
MC09-03,63518,19067,4198,14869,4198,0.97,44,3,18,16777
MC10-01,149272,48124,14334,33790,14334,0.97,68,3,37,40244
MC10-02,111828,33924,10678,23246,10678,0.97,64,3,28,27877
MC10-03,55592,15295,1766,13529,1766,0.97,50,3,21,14291
MC11-01,87932,27226,7200,20026,7200,0.97,30,3,15,23263
MC11-02,58962,12471,3896,8575,3896,0.97,39,3,20,9691
MC11-03,87630,25391,4372,21019,4372,0.97,41,3,11,23011
