Species,Group
Physa fontinalis,Mollusca
Physella acuta,Mollusca
Piona variabilis,Arachnida
Pisidium casertanum,Mollusca
Pisidium milium,Mollusca
Pisidium nitidium,Mollusca
Pisidium nitidum,Mollusca
Pisidium obtusale,Mollusca
Pisidium personatum,Mollusca
Pisidium pseudosphaerium,Mollusca
Pisidium pulchellum,Mollusca
Pisidium subtruncatum,Mollusca
Pisidium supinum,Mollusca
Planorbis planorbis,Mollusca
Platyias quadricornis,Rotifera
Plea minutissima,Hemiptera
Plectus aquatilis,Nematoda
Pleuroxus denticulatus,Crustacea
Plumatella fungosa,Bryozoa
Podura aquatica,Collembola
Polyarthra dolichoptera,Rotifera
Polymerurus rhomboides,Gastrotricha
Polypedilum cultellatum,Diptera
Polypedilum nubeculosum,Diptera
Potamopyrgus antipodarum,Mollusca
Pristina jenkinae,Annelida
Pristina longiseta,Annelida
Proales daphnicola,Rotifera
Proales fallaciosa,Rotifera
Proasellus meridianus,Crustacea
Proctotrupes bistriatus,Hymenoptera
Psectrocladius schlienzi,Diptera
Psychoda lativentris,Diptera
Ptychoptera albimana,Diptera
Ptychoptera contaminata,Diptera
Ptychoptera minuta,Diptera
Pyrrhosoma nymphula,Odonata
Radix auricularia,Mollusca
Radix balthica,Mollusca
Radix peregra,Mollusca
Rhantus frontalis,Coleoptera
Rhantus suturalis,Coleoptera
Ribautiana debilis,Hemiptera
Rotaria macrura,Rotifera
Rotaria magnacalcarata,Rotifera
Rotaria neptunia,Rotifera
Rotaria neptunoida,Rotifera
Rotaria rotatoria,Rotifera
Scapholeberis mucronata,Crustacea
Segmentina nitida,Mollusca
Sialis lutaria,Megaloptera
Sigara distincta,Hemiptera
Sigara dorsalis,Hemiptera
Sigara lateralis,Hemiptera
Sigara scotti,Hemiptera
Sigara venusta,Hemiptera
Simocephalus exspinosus,Crustacea
Simocephalus vetulus,Crustacea
Sphaerium corneum,Mollusca
Sphaerium nucleus,Mollusca
Stagnicola palustris,Mollusca
Stenostomum sthenum,Platyhelminthes
Stylaria lacustris,Annelida
Stylochaeta scirtetica,Gastrotricha
Suphrodytes dorsalis,Coleoptera
Suphrodytes figuratus,Coleoptera
Sympetrum striolatum,Odonata
Synchaeta pectinata,Rotifera
Tanytarsus ejuncidus,Diptera
Tanytarsus occultus,Diptera
Tanytarsus pallidicornis,Diptera
Testudinella caeca,Rotifera
Testudinella patina,Rotifera
Tetanocera ferruginea,Diptera
Theridiosoma gemmosum,Arachnida
Theromyzon tessulatum,Hirudinea
Tinodes waeneri,Trichoptera
Triaenodes bicolor,Trichoptera
Trichocerca similis,Rotifera
Tubifex tubifex,Annelida
Tyrophagus putrescentiae,Arachnida
Valvata cristata,Mollusca
Valvata macrostoma,Mollusca
Valvata piscinalis,Mollusca
